,realtime_start,realtime_end,date,value,delta column,,
82,1/11/22,1/11/22,11/1/88,3.7658384,0.0339054,,
83,1/11/22,1/11/22,12/1/88,3.8561848,0.0903464,,
84,1/11/22,1/11/22,1/1/89,3.9972969,0.1411121,,
85,1/11/22,1/11/22,2/1/89,3.9157227,0.0815742,,
86,1/11/22,1/11/22,3/1/89,4.0257663,0.1100436,,
87,1/11/22,1/11/22,4/1/89,3.9605236,0.0652427,,
88,1/11/22,1/11/22,5/1/89,3.8086018,0.1519218,,
89,1/11/22,1/11/22,6/1/89,3.7160731,0.0925287,,
90,1/11/22,1/11/22,7/1/89,3.5374284,0.1786447,,
91,1/11/22,1/11/22,8/1/89,3.4095281,0.1279003,,
92,1/11/22,1/11/22,9/1/89,3.5985407,0.1890126,,
93,1/11/22,1/11/22,10/1/89,3.6124554,0.0139147,,
94,1/11/22,1/11/22,11/1/89,3.5090735,0.1033819,,
95,1/11/22,1/11/22,12/1/89,3.5042538,0.0048197,,
96,1/11/22,1/11/22,1/1/90,3.5869212,0.0826674,,
97,1/11/22,1/11/22,2/1/90,3.7293692,0.142448,,
98,1/11/22,1/11/22,3/1/90,3.7307046,0.0013354,,
99,1/11/22,1/11/22,4/1/90,3.7235135,0.0071911,,
100,1/11/22,1/11/22,5/1/90,3.8722589,0.1487454,,
101,1/11/22,1/11/22,6/1/90,3.7258161,0.1464428,,
102,1/11/22,1/11/22,7/1/90,3.6500254,0.0757907,,
103,1/11/22,1/11/22,8/1/90,3.618247,0.0317784,,
104,1/11/22,1/11/22,9/1/90,3.8037562,0.1855092,,
105,1/11/22,1/11/22,10/1/90,3.723055,0.0807012,,
106,1/11/22,1/11/22,11/1/90,3.7200802,0.0029748,,
107,1/11/22,1/11/22,12/1/90,3.6181044,0.1019758,,
108,1/11/22,1/11/22,1/1/91,3.6142155,0.0038889,,
109,1/11/22,1/11/22,2/1/91,3.5579542,0.0562613,,
110,1/11/22,1/11/22,3/1/91,3.6790354,0.1210812,,
