,realtime_start,realtime_end,date,value
110,2022-01-11,2022-01-11,1991-03-01,3.6790354
111,2022-01-11,2022-01-11,1991-04-01,3.5889996
112,2022-01-11,2022-01-11,1991-05-01,3.6138325
113,2022-01-11,2022-01-11,1991-06-01,3.6874573
114,2022-01-11,2022-01-11,1991-07-01,3.6942461
115,2022-01-11,2022-01-11,1991-08-01,3.6694333
116,2022-01-11,2022-01-11,1991-09-01,3.5395061
117,2022-01-11,2022-01-11,1991-10-01,3.4571108
118,2022-01-11,2022-01-11,1991-11-01,3.4328251
119,2022-01-11,2022-01-11,1991-12-01,3.3834438
120,2022-01-11,2022-01-11,1992-01-01,3.2916933
121,2022-01-11,2022-01-11,1992-02-01,3.4630855
122,2022-01-11,2022-01-11,1992-03-01,3.4797051
123,2022-01-11,2022-01-11,1992-04-01,3.5145048
124,2022-01-11,2022-01-11,1992-05-01,3.5417892
125,2022-01-11,2022-01-11,1992-06-01,3.4636754
126,2022-01-11,2022-01-11,1992-07-01,3.3590991
127,2022-01-11,2022-01-11,1992-08-01,3.2576814
128,2022-01-11,2022-01-11,1992-09-01,3.1724765
129,2022-01-11,2022-01-11,1992-10-01,3.0763575
130,2022-01-11,2022-01-11,1992-11-01,3.2833165
131,2022-01-11,2022-01-11,1992-12-01,3.364009
132,2022-01-11,2022-01-11,1993-01-01,3.2731242
133,2022-01-11,2022-01-11,1993-02-01,3.1605471
134,2022-01-11,2022-01-11,1993-03-01,3.0099979
135,2022-01-11,2022-01-11,1993-04-01,3.0543887
136,2022-01-11,2022-01-11,1993-05-01,3.013758
137,2022-01-11,2022-01-11,1993-06-01,3.0038921
138,2022-01-11,2022-01-11,1993-07-01,2.9614798
139,2022-01-11,2022-01-11,1993-08-01,2.9997294
140,2022-01-11,2022-01-11,1993-09-01,2.8843251
141,2022-01-11,2022-01-11,1993-10-01,2.8820187
142,2022-01-11,2022-01-11,1993-11-01,2.9345111
143,2022-01-11,2022-01-11,1993-12-01,2.9978833
144,2022-01-11,2022-01-11,1994-01-01,3.0226176
145,2022-01-11,2022-01-11,1994-02-01,2.9820707
146,2022-01-11,2022-01-11,1994-03-01,3.1561665
147,2022-01-11,2022-01-11,1994-04-01,3.3849852
148,2022-01-11,2022-01-11,1994-05-01,3.3611094
149,2022-01-11,2022-01-11,1994-06-01,3.3900644
150,2022-01-11,2022-01-11,1994-07-01,3.4897425
151,2022-01-11,2022-01-11,1994-08-01,3.3532364
152,2022-01-11,2022-01-11,1994-09-01,3.3826395
153,2022-01-11,2022-01-11,1994-10-01,3.5294357
154,2022-01-11,2022-01-11,1994-11-01,3.6202126
155,2022-01-11,2022-01-11,1994-12-01,3.6322068
156,2022-01-11,2022-01-11,1995-01-01,3.6848029
157,2022-01-11,2022-01-11,1995-02-01,3.6098762
158,2022-01-11,2022-01-11,1995-03-01,3.4513165
159,2022-01-11,2022-01-11,1995-04-01,3.4052354
160,2022-01-11,2022-01-11,1995-05-01,3.2379292
161,2022-01-11,2022-01-11,1995-06-01,2.9951953
162,2022-01-11,2022-01-11,1995-07-01,3.0444349
163,2022-01-11,2022-01-11,1995-08-01,3.1175988
164,2022-01-11,2022-01-11,1995-09-01,3.0773826
165,2022-01-11,2022-01-11,1995-10-01,3.0390154
166,2022-01-11,2022-01-11,1995-11-01,3.0063913
167,2022-01-11,2022-01-11,1995-12-01,2.8567435
168,2022-01-11,2022-01-11,1996-01-01,2.8862696
169,2022-01-11,2022-01-11,1996-02-01,2.8805479
170,2022-01-11,2022-01-11,1996-03-01,2.9718373
171,2022-01-11,2022-01-11,1996-04-01,3.0706824
172,2022-01-11,2022-01-11,1996-05-01,3.2061012
