id,label,full_label,abbreviation,alt_abbreviation
81,District of Utah,United States District Court for the District of Utah,D. Utah,UT
82,District of Wyoming,United States District Court for the District of Wyoming,D. Wyo.,WY
83,Middle District of Alabama,United States District Court for the Middle District of Alabama,M.D. Ala.,ALM
84,Northern District of Alabama,United States District Court for the Northern District of Alabama,N.D. Ala.,ALN
85,Southern District of Alabama,United States District Court for the Southern District of Alabama,S.D. Ala.,ALS
86,Middle District of Florida,United States District Court for the Middle District of Florida,M.D. Fla.,FLM
87,Northern District of Florida,United States District Court for the Northern District of Florida,N.D. Fla.,FLN
88,Southern District of Florida,United States District Court for the Southern District of Florida,S.D. Fla.,FLS
89,Middle District of Georgia,United States District Court for the Middle District of Georgia,M.D. Ga.,GAM
90,Northern District of Georgia,United States District Court for the Northern District of Georgia,N.D. Ga.,GAN
91,Southern District of Georgia,United States District Court for the Southern District of Georgia,S.D. Ga.,GAS
92,District of Guam,United States District Court for the District of Guam,D. Guam,GUAM
93,District of the Northern Mariana Islands,United States District Court for the Northern Mariana Islands,D. N. Mar. I.,NMI
94,District of the Virgin Islands,United States District Court of the Virgin Islands,D. N. Mar. I.,VI
